train/explained_variance,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,time/time_elapsed,time/iterations,time/total_timesteps,train/std,time/fps
5.924701690673828e-05,-0.0010275135282427073,16499,2.545190511682449e-07,-2.8322978019714355,0.0007,168,16500,82500,1.0118273496627808,488
0.0,-0.0017713687848299742,16599,2.546937594161136e-07,-2.8433637619018555,0.0007,169,16600,83000,1.0168685913085938,489
0.0,-0.001246358035132289,16699,2.53722674870005e-07,-2.8463664054870605,0.0007,170,16700,83500,1.0191079378128052,489
0.0,-0.0017574932426214218,16799,2.5496160560578573e-07,-2.8544912338256836,0.0007,171,16800,84000,1.0217173099517822,489
5.960464477539063e-08,-0.0013831249671056867,16899,2.5410560056116083e-07,-2.843480110168457,0.0007,172,16900,84500,1.0167999267578125,489
-1.1920928955078125e-07,-0.0011577673722058535,16999,2.5284447247031494e-07,-2.8391356468200684,0.0007,173,17000,85000,1.0163300037384033,489
0.0,-0.0015720378141850233,17099,2.532001985855459e-07,-2.840826988220215,0.0007,174,17100,85500,1.0154166221618652,489
3.93986701965332e-05,-0.0010548264253884554,17199,2.538099010962469e-07,-2.8375754356384277,0.0007,175,17200,86000,1.0154459476470947,489
0.0,-0.0012366098817437887,17299,2.546163671013346e-07,-2.8264827728271484,0.0007,176,17300,86500,1.0093977451324463,489
0.0,-0.0013072724686935544,17399,2.5384818513884966e-07,-2.8234121799468994,0.0007,177,17400,87000,1.0091990232467651,489
5.960464477539063e-08,-0.0009879224235191941,17499,2.530527183353115e-07,-2.812788486480713,0.0007,178,17500,87500,1.0030717849731445,489
0.0,-0.0011054892092943192,17599,2.532157452606043e-07,-2.8033642768859863,0.0007,179,17600,88000,0.9973733425140381,489
0.0,-0.0012711144518107176,17699,2.5300067818534444e-07,-2.794564962387085,0.0007,180,17700,88500,0.9936534762382507,489
0.0,-0.0011224891059100628,17799,2.52231671993286e-07,-2.7777926921844482,0.0007,181,17800,89000,0.987346887588501,489
0.0,-0.0017803028458729386,17899,2.521327644444682e-07,-2.759084701538086,0.0007,182,17900,89500,0.9776935577392578,489
0.0,-0.0011250076349824667,17999,2.519155373192916e-07,-2.762747287750244,0.0007,183,18000,90000,0.9819221496582031,489
5.960464477539063e-08,-0.001518976641818881,18099,2.5203823383890267e-07,-2.7647414207458496,0.0007,184,18100,90500,0.9838230609893799,489
0.0,-0.001306881313212216,18199,2.5133215331152314e-07,-2.7745561599731445,0.0007,185,18200,91000,0.9887322187423706,489
-1.1920928955078125e-07,-0.0009916573762893677,18299,2.50975290327915e-07,-2.776742935180664,0.0007,186,18300,91500,0.99149489402771,489
-1.1920928955078125e-07,-0.0010621065739542246,18399,2.513208983145887e-07,-2.7682437896728516,0.0007,187,18400,92000,0.9867837429046631,490
-3.9577484130859375e-05,-0.0010941366199404001,18499,2.5129065761575475e-07,-2.7831625938415527,0.0007,188,18500,92500,0.9929914474487305,490
0.0,-0.001264378079213202,18599,2.49650895511877e-07,-2.76920223236084,0.0007,189,18600,93000,0.9858185052871704,490
0.0,-0.0012044255854561925,18699,2.505312579614838e-07,-2.7757954597473145,0.0007,190,18700,93500,0.9887492656707764,490
0.0,-0.0011056920047849417,18799,2.4960567657217325e-07,-2.771364450454712,0.0007,191,18800,94000,0.9860052466392517,490
0.00011986494064331055,-0.00134074327070266,18899,2.5041202889042324e-07,-2.779181957244873,0.0007,192,18900,94500,0.9890207052230835,490
-1.1920928955078125e-07,-0.0011654526460915804,18999,2.4892739247661666e-07,-2.781350612640381,0.0007,193,19000,95000,0.9901314973831177,490
-1.1920928955078125e-07,-0.0012029233621433377,19099,2.477347322837886e-07,-2.7956619262695312,0.0007,194,19100,95500,0.9972652196884155,490
0.0,-0.001036141300573945,19199,2.472571054568107e-07,-2.8017148971557617,0.0007,195,19200,96000,1.0002737045288086,490
0.0,-0.0013588013825938106,19299,2.4723146907490445e-07,-2.779736042022705,0.0007,196,19300,96500,0.987256646156311,491
0.0,-0.0011081548873335123,19399,2.478961391716439e-07,-2.7856080532073975,0.0007,197,19400,97000,0.9903852939605713,491
