time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/n_updates,train/value_loss
178176,87,602,295,0.0244140625,0.0023476498,-4.470348358154297e-05,-0.0002903584165323991,1.8502497673034668,0.0003,-0.01207512617111206,0.2,-4.045329952239991,860,4.4389737070297687e-10
180224,88,602,299,0.120556640625,0.010440213,-0.0026710033416748047,-0.0030135573862935415,1.8354485034942627,0.0003,-0.020114699378609657,0.2,-4.057038921117782,870,2.321353010770204e-10
182272,89,602,302,0.0291015625,0.007642532,-0.00012230873107910156,0.00034247342409798875,1.8464330434799194,0.0003,0.0010428652167320251,0.2,-4.055879135429859,880,1.3171020834105212e-10
184320,90,602,306,0.082177734375,0.0067524845,0.0036295056343078613,-0.0015356230709585362,1.8576345443725586,0.0003,0.01911008358001709,0.2,-4.0662543088197705,890,7.477654240996515e-11
186368,91,602,309,0.031884765625,0.006539008,0.008007943630218506,-0.0011019533463695551,1.838560938835144,0.0003,-0.00945759005844593,0.2,-4.060832303762436,900,3.6330446475575913e-06
188416,92,602,312,0.0892578125,0.009215673,0.000314176082611084,-0.001050987554481253,1.8626857995986938,0.0003,-0.008126911707222462,0.2,-4.064048585295677,910,9.699320719943229e-07
190464,93,603,315,0.062060546875,0.008157166,0.0005148053169250488,-0.0005152159450517501,1.8743221759796143,0.0003,-0.011433889158070087,0.2,-4.084362156689167,920,9.62069865371625e-06
192512,94,603,319,0.084814453125,0.00793057,-0.0003693103790283203,-0.0028220447420608252,1.9127061367034912,0.0003,-0.009591608308255672,0.2,-4.11069415807724,930,6.7932514557852416e-09
194560,95,603,322,0.03896484375,0.0054842792,-0.00032889842987060547,-0.0010254742723191158,1.9378453493118286,0.0003,-0.02142525464296341,0.2,-4.1446567684412,940,1.9774754039022375e-08
196608,96,604,325,0.105078125,0.010977065,-0.0008863210678100586,-0.002101196622243151,1.976252794265747,0.0003,-0.00411825068295002,0.2,-4.174123711884022,950,1.8828383135658886e-08
198656,97,603,328,0.0552734375,0.0039806655,0.0002117753028869629,-0.001340847813844448,2.011157989501953,0.0003,-0.008214486762881279,0.2,-4.21074510961771,960,2.60580580137844e-06
200704,98,604,332,0.010791015625,0.0022314738,0.0005312561988830566,-0.00019808950964943505,2.0485239028930664,0.0003,-0.004418503027409315,0.2,-4.2424728468060495,970,4.281981402766655e-09
